TARGET,CODE_GENDER,YEARS_BIRTH,NAME_INCOME_TYPE,DAYS_EMPLOYED_PERC,AMT_CREDIT
0.0,M,27.1813826146475,Working,0.1315471394037067,12.419165860990882
0.0,F,34.6694045174538,Working,0.2188265024085919,11.407564949312402
0.0,M,42.072553045859,Working,0.1785644563024663,13.112313041550829
0.0,F,47.19780971937029,Working,0.0169383374905736,13.989749538564872
1.0,M,22.154688569472963,Commercial associate,0.1165348492338111,12.573742424142935
0.0,M,59.59479808350445,Working,0.2829971975926861,13.890803541999706
0.0,F,32.049281314168375,State servant,0.1574406287373996,13.104262541239848
0.0,F,61.8590006844627,Pensioner,0.105566492193202,12.558136976911223
0.0,M,36.22724161533196,Working,0.0581166868198307,13.013215699491925
0.0,F,44.98288843258042,Commercial associate,0.0393791844187461,12.911642346088676
0.0,F,34.67488021902806,Working,0.0424003158310304,13.068456143335418
0.0,M,41.84257357973991,Commercial associate,0.2809657789700975,12.38776900693021
0.0,F,23.77549623545517,Commercial associate,0.0632197144173192,12.323855681186558
0.0,F,30.973305954825463,Commercial associate,0.1881905772120569,14.085155942929903
0.0,F,63.82477754962355,Pensioner,0.102315087706469,13.129688483189396
0.0,M,52.87611225188228,Working,0.0994666804742919,13.20861446544755
0.0,F,29.93018480492813,State servant,0.0380534211489206,13.369348447524006
0.0,F,27.904175222450377,Working,0.1138147566718995,13.292207412687173
0.0,F,62.75154004106776,Pensioner,0.1040649792588658,11.813030057420567
0.0,F,47.17316906228611,State servant,0.5733023795705166,12.261980277468467
0.0,F,35.578370978781656,Working,0.3050404001539053,13.20861446544755
0.0,F,51.31553730321698,Working,0.0115776556581123,12.419165860990882
0.0,F,55.60301163586585,Commercial associate,0.5949086611846964,13.117391035777771
0.0,M,51.34565366187543,Working,0.3593366748427002,12.506177237980513
0.0,F,45.21834360027378,Commercial associate,0.0141075320900944,11.531550929093394
0.0,M,46.450376454483234,Commercial associate,0.0585877637628197,12.87350193808449
0.0,M,28.566735112936342,Commercial associate,0.1862181330266436,12.323855681186558
0.0,F,38.65845311430527,State servant,0.0245750708215297,13.20861446544755
0.0,M,47.46885694729637,Working,0.0076710116507094,13.839949479841293
0.0,F,64.61054072553046,Working,0.0346624856985465,13.811144038579071
0.0,M,27.693360711841205,Working,0.0333168561542263,12.58621994565405
0.0,M,33.91649555099247,Working,0.1959154020019373,13.933293593620656
0.0,M,28.70362765229295,Commercial associate,0.0890881342998855,13.113021881173742
0.0,M,58.69678302532512,Working,0.1427305378049349,13.103171383633544
0.0,F,58.8911704312115,Pensioner,0.1108865329899212,13.164042604395815
0.0,F,53.90280629705681,Commercial associate,0.5845692807801707,14.197766402775327
0.0,F,56.85694729637235,Commercial associate,0.1413299947031348,12.66032791780777
1.0,F,37.28405201916495,Working,0.2576002349831106,12.573742424142935
0.0,M,24.257357973990416,Working,0.0330699774266365,12.22469810965334
0.0,F,46.91854893908282,Working,0.1015930442901324,13.164042604395815
0.0,M,25.429158110882955,Working,0.1173557278208441,12.343658308482738
0.0,F,29.741273100616016,Working,0.0926999907944398,13.178628392282244
0.0,F,34.83093771389459,State servant,0.1438453073416129,14.49408811514803
0.0,M,64.69267624914443,Pensioner,0.100942457345347,13.786370068217856
0.0,F,36.78302532511978,Working,0.0334201711946408,11.813030057420567
0.0,F,54.20396988364134,Working,0.4977270431356703,13.173989516392968
0.0,M,56.77481177275838,Commercial associate,0.0336596421854655,12.573742424142935
0.0,F,40.04380561259411,State servant,0.5258443867086011,13.20861446544755
1.0,F,28.024640657084188,Working,0.2004689331770222,13.20861446544755
0.0,F,51.657768651608485,Commercial associate,0.3433856264574941,14.49408811514803
0.0,M,25.49486652977413,Working,0.0138530927835051,12.558136976911223
0.0,M,36.18343600273785,Working,0.3640284503631961,13.20861446544755
0.0,F,31.77549623545517,Working,0.3531793899707048,13.017002861746503
0.0,F,46.25598904859685,Commercial associate,0.0312518496596626,13.422467969854669
0.0,F,68.22450376454483,Pensioner,0.0957168957266827,12.38776900693021
0.0,F,48.22450376454484,Working,0.2531509026910412,12.729320789294722
0.0,F,65.98220396988364,Pensioner,0.0989696815192201,12.323855681186558
0.0,F,24.197125256673512,Working,0.1801312514143471,14.396207147579494
0.0,M,68.36139630390144,Working,0.0478993952501101,12.447841660967548
0.0,F,30.61738535249829,Commercial associate,0.0920146651166949,13.164042604395815
0.0,F,62.60917180013689,Pensioner,0.1043016146848524,12.97451281012555
0.0,F,51.017111567419576,Commercial associate,0.1364173017065579,11.531550929093394
0.0,F,53.02943189596167,Commercial associate,0.6258970519902938,13.20861446544755
0.0,F,44.03285420944559,Working,0.3825778772617049,12.506177237980513
0.0,F,59.4031485284052,Pensioner,0.1099308348902247,13.105874174649134
0.0,F,37.55783709787816,Commercial associate,0.0802595130485493,13.166981995619205
0.0,M,27.99452429842573,Working,0.2427383863080684,12.506177237980513
0.0,F,36.74469541409993,Commercial associate,0.1810595335667983,12.6710982800943
0.0,F,52.91991786447639,Working,0.125252211702623,11.935660584243347
0.0,M,36.9637234770705,Working,0.1094733723427894,13.117391035777771
0.0,M,40.27926078028747,Working,0.079594888526373,12.66032791780777
0.0,F,42.08624229979466,Commercial associate,0.1317980744210252,14.115615150414612
0.0,M,44.1533196440794,Working,0.5214857071991071,13.658856747918897
0.0,F,29.21286789869952,Working,0.1402061855670103,13.992467752259078
0.0,F,51.43052703627652,State servant,0.2036199095022624,13.442270597150848
0.0,F,59.90965092402464,Pensioner,0.1090014315242302,12.58621994565405
0.0,F,66.02600958247776,Pensioner,0.0989040190999007,12.323855681186558
0.0,F,53.163586584531146,Commercial associate,0.1258111031002163,13.710150042306449
0.0,M,62.56536618754278,Commercial associate,0.0696656747768247,13.399404030256116
0.0,F,41.15263518138261,Working,0.0660634688310824,13.81900444721853
0.0,M,32.37782340862423,Commercial associate,0.3532893624217825,12.506177237980513
0.0,F,39.331964407939765,Working,0.0590282611722121,12.281365629565604
0.0,F,47.10746064339494,Working,0.0072067883296524,13.673890540436132
0.0,M,22.902121834360027,Working,0.0597728631201434,13.839949479841293
0.0,F,53.94113620807666,Commercial associate,0.1231854634047304,13.532935422880636
0.0,F,30.67214236824093,Working,0.1754887083816834,13.890803541999706
0.0,F,59.12936344969199,Pensioner,0.1104398446364405,13.75894020647588
0.0,F,60.02737850787132,Working,0.1106955530216647,13.94801667517354
0.0,F,60.48186173853525,Pensioner,0.1079701835414062,12.537579001120044
0.0,F,39.813826146475016,State servant,0.0278503644615596,14.352003928478842
1.0,M,40.054757015742645,Commercial associate,0.0525632262474367,13.282155542657204
0.0,F,55.49075975359343,Pensioner,0.1176815336793569,13.642342182701206
0.0,M,62.33264887063656,Pensioner,0.1047643222476921,13.82793307796283
0.0,F,54.5160848733744,Commercial associate,0.1755725190839694,13.035628325869668
0.0,M,46.392881587953454,Working,0.0781941575686043,13.294839122882758
0.0,F,42.10540725530458,Commercial associate,0.0147603875414526,14.04662227892766
0.0,F,28.843258042436688,Working,0.2383483626008543,13.20861446544755
0.0,M,40.03559206023272,State servant,0.4911440880804212,13.017002861746503
0.0,F,47.83846680355921,Commercial associate,0.0703370915126194,13.093963902882631
1.0,M,42.86926762491444,Working,0.0657172052624856,12.558136976911223
0.0,F,34.691307323750856,Working,0.0187041275353168,12.996310238521414
0.0,F,43.65229295003422,Working,0.010160561966884,13.756078974194848
0.0,M,39.80835044490075,Working,0.1924346629986245,13.87141818990257
0.0,F,40.74469541409993,Working,0.5462975406531381,13.02695319259967
0.0,F,61.76591375770021,Pensioner,0.105725590630018,13.300240070411048
0.0,F,55.08008213552361,Pensioner,0.1185589683175865,14.016825591250765
0.0,F,40.889801505817935,Working,0.0755942417140944,12.639352317132929
1.0,M,27.99452429842573,Working,0.0400977995110024,13.117391035777771
0.0,M,55.07734428473648,Commercial associate,0.4553362827459363,12.506177237980513
0.0,F,62.33538672142368,Working,0.1145906535488404,12.510119457213136
0.0,F,52.695414099931554,Working,0.0324725931313971,13.20861446544755
0.0,F,46.92128678986995,Commercial associate,0.0159295133621192,12.789524930564738
0.0,M,30.275154004106778,Working,0.3257370229697956,12.558136976911223
0.0,M,50.30527036276523,Working,0.0315663437465984,13.017002861746503
0.0,F,28.854209445585216,State servant,0.1395768099440174,13.346306608889105
0.0,F,22.63107460643395,Commercial associate,0.1419066053714009,12.100712129872347
0.0,M,56.18891170431211,Pensioner,0.116219330732018,14.115615150414612
0.0,F,55.64681724845996,Pensioner,0.1173515042860126,12.281365629565604
0.0,M,38.92128678986995,State servant,0.251266178953292,12.447841660967548
1.0,F,35.493497604380565,Working,0.1037488429497068,12.218495165528733
0.0,F,33.45379876796714,Commercial associate,0.2474834274490547,13.422467969854669
0.0,F,37.76865160848734,Working,0.0319681043856469,12.69778884168156
1.0,M,32.56673511293634,Commercial associate,0.1059268600252206,13.8844352271255
0.0,M,40.62696783025325,Working,0.2097850259451445,13.710150042306449
0.0,F,65.37713894592744,Pensioner,0.0998856453207088,11.864989796351278
0.0,M,28.711841204654345,Working,0.0152569848383713,13.164042604395815
0.0,F,30.17385352498289,State servant,0.3247436711732148,13.635641990131386
0.0,F,56.498288843258045,Working,0.1274956386896685,13.604789526648622
0.0,F,64.91991786447639,Pensioner,0.1005891246884786,14.118942940507289
0.0,M,63.21971252566736,Working,0.0040275431986488,10.948699064477122
0.0,F,64.13963039014374,Pensioner,0.1018128366676572,13.933293593620656
0.0,F,60.78302532511978,Commercial associate,0.3071032836358722,14.047179266638343
0.0,F,25.177275838466805,Working,0.0330578512396694,13.166181199947204
0.0,F,30.87200547570157,Commercial associate,0.270663355799929,13.710150042306449
0.0,F,34.88569472963724,State servant,0.279861874117093,13.292207412687173
0.0,F,45.25941136208077,Working,0.0968483455326356,13.933293593620656
0.0,F,48.068446269678304,Working,0.0276243093922651,13.890803541999706
0.0,F,23.90965092402464,Working,0.0727126989579755,12.857772636175946
